AA.DIM..BLN | 2004-02-11T08:15:42.350000Z - 2004-02-11T08:15:42.360000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:42.430000Z - 2004-02-11T08:15:42.440000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:42.545000Z - 2004-02-11T08:15:42.555000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:42.660000Z - 2004-02-11T08:15:42.670000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:42.705000Z - 2004-02-11T08:15:42.715000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:42.800000Z - 2004-02-11T08:15:42.855000Z | 200.0 Hz, 12 samples
AA.DIM..BLN | 2004-02-11T08:15:43.025000Z - 2004-02-11T08:15:43.035000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:43.065000Z - 2004-02-11T08:15:43.075000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:43.365000Z - 2004-02-11T08:15:43.375000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:43.525000Z - 2004-02-11T08:15:43.565000Z | 200.0 Hz, 9 samples
AA.DIM..BLN | 2004-02-11T08:15:43.605000Z - 2004-02-11T08:15:43.615000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:43.725000Z - 2004-02-11T08:15:43.735000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:43.805000Z - 2004-02-11T08:15:43.855000Z | 200.0 Hz, 11 samples
AA.DIM..BLN | 2004-02-11T08:15:43.895000Z - 2004-02-11T08:15:43.910000Z | 200.0 Hz, 4 samples
AA.DIM..BLN | 2004-02-11T08:15:43.975000Z - 2004-02-11T08:15:43.985000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:44.040000Z - 2004-02-11T08:15:44.075000Z | 200.0 Hz, 8 samples
AA.DIM..BLN | 2004-02-11T08:15:44.335000Z - 2004-02-11T08:15:44.345000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:44.410000Z - 2004-02-11T08:15:44.510000Z | 200.0 Hz, 21 samples
AA.DIM..BLN | 2004-02-11T08:15:44.665000Z - 2004-02-11T08:15:44.675000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:44.705000Z - 2004-02-11T08:15:44.715000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:44.765000Z - 2004-02-11T08:15:44.795000Z | 200.0 Hz, 7 samples
AA.DIM..BLN | 2004-02-11T08:15:44.830000Z - 2004-02-11T08:15:44.840000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:44.905000Z - 2004-02-11T08:15:44.915000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:45.050000Z - 2004-02-11T08:15:45.075000Z | 200.0 Hz, 6 samples
AA.DIM..BLN | 2004-02-11T08:15:45.130000Z - 2004-02-11T08:15:45.140000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:45.175000Z - 2004-02-11T08:15:45.185000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:45.215000Z - 2004-02-11T08:15:45.225000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:45.280000Z - 2004-02-11T08:15:45.305000Z | 200.0 Hz, 6 samples
AA.DIM..BLN | 2004-02-11T08:15:45.350000Z - 2004-02-11T08:15:45.360000Z | 200.0 Hz, 3 samples
AA.DIM..BLN | 2004-02-11T08:15:45.405000Z - 2004-02-11T08:15:45.525000Z | 200.0 Hz, 25 samples
AA.DIM..BLN | 2004-02-11T08:15:45.565000Z - 2004-02-11T08:16:09.000000Z | 200.0 Hz, 4688 samples
AA.DIM..BLN | 2004-02-11T08:16:09.035000Z - 2004-02-11T08:16:09.965000Z | 200.0 Hz, 187 samples
AA.LAV..BHZ | 2004-02-11T08:15:17.000000Z - 2004-02-11T08:16:11.040000Z | 200.0 Hz, 10809 samples
AA.LAV..BHN | 2004-02-11T08:15:17.000000Z - 2004-02-11T08:16:11.040000Z | 200.0 Hz, 10809 samples
AA.LAV..BLE | 2004-02-11T08:15:17.000000Z - 2004-02-11T08:15:17.000000Z | 200.0 Hz, 1 samples
AA.LAV..BLE | 2004-02-11T08:15:17.345000Z - 2004-02-11T08:15:17.355000Z | 200.0 Hz, 3 samples
AA.LAV..BLE | 2004-02-11T08:15:17.480000Z - 2004-02-11T08:15:17.490000Z | 200.0 Hz, 3 samples
AA.LAV..BLE | 2004-02-11T08:15:17.560000Z - 2004-02-11T08:15:17.570000Z | 200.0 Hz, 3 samples
AA.LAV..BLE | 2004-02-11T08:15:17.740000Z - 2004-02-11T08:15:17.750000Z | 200.0 Hz, 3 samples
AA.LAV..BLE | 2004-02-11T08:15:17.790000Z - 2004-02-11T08:15:17.800000Z | 200.0 Hz, 3 samples
AA.LAV..BLE | 2004-02-11T08:15:17.835000Z - 2004-02-11T08:15:17.875000Z | 200.0 Hz, 9 samples
AA.LAV..BLE | 2004-02-11T08:15:18.225000Z - 2004-02-11T08:15:18.235000Z | 200.0 Hz, 3 samples
AA.LAV..BLE | 2004-02-11T08:15:18.325000Z - 2004-02-11T08:15:18.335000Z | 200.0 Hz, 3 samples
AA.LAV..BLE | 2004-02-11T08:15:18.380000Z - 2004-02-11T08:15:18.390000Z | 200.0 Hz, 3 samples
AA.LAV..BLE | 2004-02-11T08:15:18.495000Z - 2004-02-11T08:15:18.530000Z | 200.0 Hz, 8 samples
AA.LAV..BLE | 2004-02-11T08:15:18.565000Z - 2004-02-11T08:15:18.610000Z | 200.0 Hz, 10 samples
AA.LAV..BLE | 2004-02-11T08:15:18.650000Z - 2004-02-11T08:15:21.985000Z | 200.0 Hz, 668 samples
