Record Sequence Number,EQID,YEAR,MODY,HRMN,Station Name,Station Sequence Number,Station ID  No.,Station Type,Station Network,Earthquake Magnitude,Magnitude Type,Mo (dyne.cm),Strike (deg),Dip (deg),Rake Angle (deg),Mechanism,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Width (km),Fault Rupture Area (km^2),Fault Name,Slip Rate (mm/Yr),EpiD      (km),HypD           (km),Joyner-Boore Dist. (km),FW/HW Indicator,Source to Site Azimuth (deg),Vs30 (m/s) selected for analysis,Preferred NEHRP Based on Vs30,Surface Geological Unit,Station Latitude,Station Longitude,Depth to Top Judea (km),Depth to Vs=1100,File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,Type of Filter,npass,HP (Hz),LP (Hz),Factor,Lowest Usable Freq - V (Hz),PGA (g),PGV (cm/sec),PGD (cm),f 0.01 Hz,0.012,0.014,0.017,0.021,0.025,0.030,0.036,0.044,0.052,0.063,0.076,0.091,0.110,0.130,0.160,0.190,0.230,0.280,0.330,0.400,0.480,0.580,0.690,0.830,1.00,1.20,1.450,1.740,2.090,2.510,3.020,3.630,4.370,5.250,6.310,7.590,9.120,10.970,13.180,15.850,19.060,22.910,27.540,33.110,39.810,47.860,57.540,69.180,83.180,100.00
1257,,2009,0710,1817,IS_HRFI__BHN,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,532.754457,,,,,,,,30.04,35.03,,,,,,,,,,,,0.075956219065782843,15.223506287502721,,,9.824417682256175e-05,6.8041409551859049e-07,9.8236050720963253e-08,6.1144899692049647e-11,6.3564458101911029e-11,6.6471585974610688e-11,7.1322887653744773e-11,7.8737272777987464e-11,8.7236086081786711e-11,9.9041501962187961e-11,1.1369552436819287e-10,1.3814375055763118e-10,1.6803451856252071e-10,2.6584125647745665e-10,5.7976622561372437e-10,3.9544239477381124e-10,3.1859868781053501e-09,7.0176638500910948e-09,1.1102971001927184e-08,1.747086787452926e-08,2.3702577557751957e-08,4.2000203039932747e-08,2.6998896240313282e-08,9.5330751497824879e-08,1.0609231571244028e-07,9.4113475584637803e-08,9.5430995510988518e-08,2.6314514300226336e-07,4.2382672632577622e-07,2.404548336760698e-07,2.7222250386586552e-07,1.857453554690646e-07,1.0383250184205228e-07,2.4048310006161303e-07,3.6517722614378865e-07,2.6434632974807047e-08,4.30932804274042e-08,1.9796659939813877e-07,2.7467844725332347e-07,2.5369261816816114e-07,1.1971463906410017e-07,3.5644976202519845e-08,6.2686500204508494e-09,5.2568572683707255e-10,4.5427391026279084e-12,,,,,,,,,
1258,,2009,0710,1817,IS_SLTI__SHE,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,321.471631,,,,,,,,32.2408,35.041,,,,,,,,,,,,0.26671622818627921,16.007891610655562,,,9.0408062088824173e-06,3.5116297855785809e-08,3.283099644473054e-09,5.6443761188948971e-11,5.6642692832844274e-11,5.6895737398327228e-11,5.6873106541233357e-11,5.6056999518903411e-11,5.4684776842824074e-11,5.1273039464433742e-11,4.9105719642369008e-11,6.6021907517097126e-11,6.5021898164666298e-11,4.7055378641881374e-11,6.2982183781136119e-11,7.2173336263770948e-11,6.8773560897798959e-11,5.2591089590828026e-11,1.0176285859505112e-10,1.0736941093396682e-10,2.2538780532718625e-10,1.9143889390313375e-10,4.4148867985618442e-10,9.9574367949338348e-10,6.5845746378082159e-10,1.5652718150604003e-09,2.0023830009668116e-09,1.0364260083657785e-09,1.1026080857437436e-09,6.4629320176183667e-09,1.3434137649020163e-08,3.3928582532118464e-09,1.0868249386106871e-08,1.0881442550443317e-08,1.4418553151023733e-08,4.065576483828419e-08,1.1028642616376516e-08,1.8683922442195021e-08,1.3293828034459634e-08,2.1339741096384691e-08,1.0109323024723203e-08,3.4372020825711406e-09,2.8512266755704279e-09,4.5836852653374941e-09,8.0944834575109076e-13,,,,,,,,,
1259,,2009,0710,1817,IS_BLGI__SHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,291.685475,,,,,,,,32.73338,35.19126,,,,,,,,,,,,0.14595403695435244,17.699990091094229,,,0.00022209791697618204,1.7999902823149993e-06,2.0875519571899766e-07,9.9007034759840846e-10,9.9008340999874005e-10,9.9009647239907164e-10,9.9011979596779129e-10,9.901533301370666e-10,9.9019101986109907e-10,9.902381232701266e-10,9.903168721659328e-10,9.9057919977203281e-10,9.9110324303764231e-10,9.9167781131928359e-10,9.9608237712832359e-10,9.9282094562683981e-10,9.8304050775038735e-10,1.0379056681412277e-09,1.1001070024617477e-09,1.1027469031872264e-09,1.3735731154203353e-09,8.8207463270875613e-09,1.0591878330251016e-08,2.0968420007678907e-08,6.0614889120802209e-08,1.5217958673375183e-07,4.9838674654860308e-07,3.3813040230338703e-07,1.1587316721374327e-06,5.0885116206862628e-07,9.5316696140818776e-07,9.6466493367175812e-07,1.2663784443894747e-06,5.881655049811414e-07,7.4148903736097564e-07,6.216473677588368e-07,7.6869014071674897e-07,5.2862212899790521e-07,1.1203970097470043e-07,3.246043265607122e-07,5.6072273615747244e-08,1.2707346036482147e-07,1.0634842886361512e-07,5.6434672376959549e-08,1.0386326821518268e-11,,,,,,,,,
1260,,2009,0710,1817,IS_PRNI__SHN,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,499.962376,,,,,,,,30.3522,35.0052,,,,,,,,,,,,0.28759319594357236,14.845846604961229,,,7.3509159045943669e-05,6.0354619532226924e-07,1.3884395959908052e-07,7.6454289302205461e-10,7.647612574829387e-10,7.6521178053413901e-10,7.6591128885837045e-10,7.6512079666812072e-10,7.6764512246684864e-10,7.712174960536742e-10,7.8109000627512731e-10,7.9836436010784285e-10,7.5699790645835462e-10,7.8664979586616448e-10,7.8504568583409554e-10,8.7225424145375972e-10,1.0477296056200276e-09,8.9159348015928388e-10,2.0133067325610083e-09,9.6642866973088838e-10,4.7951502715503901e-09,1.9574782057759622e-08,1.6344565723518317e-08,8.4305398149524702e-08,2.1843523914879381e-07,2.5821738612321385e-07,5.782708828390055e-08,1.9344009685278501e-07,3.9240497118040867e-07,1.126709683057783e-07,9.6885564351672163e-08,1.2432246048362923e-07,1.0236498057838414e-07,3.1228388251839755e-08,1.1762344973925071e-07,3.0615729012631323e-08,1.1885771859029827e-07,2.6113403281090088e-07,7.9792751421554469e-08,1.5574219297599837e-07,1.0591612540097756e-07,8.4352502676263192e-09,3.7119395801095531e-09,4.0772942897227609e-09,1.1555078934202787e-11,,,,,,,,,
1261,,2009,0710,1817,IS_HRFI__BHE,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,532.754457,,,,,,,,30.04,35.03,,,,,,,,,,,,0.095224968314714581,12.451936994525948,,,0.00011360012243678454,9.434678079770029e-07,1.227082544596071e-07,7.1382507200577866e-11,7.1319639213250158e-11,7.1472320369412498e-11,7.3313652896785746e-11,7.3058456048701504e-11,7.3532461283317434e-11,7.5611397713186461e-11,9.4815955570106694e-11,1.0054146086006754e-10,1.9020438332048811e-10,7.9074841303909221e-10,1.8764758325656239e-09,3.513782828724441e-09,5.8137492362542098e-09,1.3095581977171666e-08,2.3276510202442737e-08,3.3877347965302762e-08,2.2510367028102047e-08,1.128452731418445e-08,1.2008386161900821e-07,1.3487179275954197e-07,1.6454509396020292e-07,8.8760468790237931e-08,1.616611471727797e-07,1.6254839092361509e-07,1.8859669461007244e-07,6.2613536321950306e-08,1.1697762674988615e-07,1.8471029266574864e-07,1.8785508038809634e-07,2.8896283033496919e-07,3.8624274361858927e-07,3.2490155505868332e-07,2.4236545255498884e-07,9.9598757578635771e-08,1.1981780247624974e-07,1.7959339444379901e-07,8.8299028062827356e-08,9.2389765873766151e-09,3.7111855456294032e-09,2.0383141377147051e-10,4.349011230236752e-11,,,,,,,,,
1262,,2009,0710,1817,IS_HRFI__BHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,532.754457,,,,,,,,30.04,35.03,,,,,,,,,,,,0.083985096696083894,13.093518272772499,,,8.2249129017561816e-05,4.4552681123246773e-07,5.0574372994236771e-08,2.8525711547357838e-11,3.0232107045278778e-11,3.215193570238194e-11,3.5042161382672715e-11,3.9777074894977326e-11,4.5353154769690767e-11,4.9434715620269995e-11,5.483101081609914e-11,7.5838419457686625e-11,1.2343704479758522e-10,1.8304814465601985e-10,4.7834228445030547e-10,1.5477155340038588e-09,4.0564435519298107e-09,9.5023901126567848e-09,1.7645395750574063e-08,1.0768727926042345e-08,1.9860512092124734e-08,2.2024543925854396e-08,2.5616837605651905e-08,4.5610379257952338e-08,6.2517931078654836e-08,5.0906639161878691e-08,1.143788795539896e-07,5.7193187360581745e-08,1.7365426818666231e-07,1.9708044746337146e-07,1.6814806631534619e-07,2.7259067146797308e-07,8.1239206031744184e-08,2.5848778838645587e-07,2.1113628166502836e-07,1.1321980164760557e-07,1.6014587889044436e-07,1.5018649264110556e-07,1.1431861811247933e-07,2.5447375808916621e-07,4.2879492977099218e-08,4.6963841422959842e-08,2.334568487000115e-08,3.3855779953345249e-10,3.4725065010125854e-11,,,,,,,,,
1263,,2009,0710,1817,IS_SLTI__SHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,321.471631,,,,,,,,32.2408,35.041,,,,,,,,,,,,0.29490920546268229,16.415112257931984,,,1.1658204401545121e-05,5.1549815160610403e-08,3.7147621416109124e-09,2.8099289102943369e-11,2.8147501673693172e-11,2.8186052054299797e-11,2.8279138798733055e-11,2.9690248164666196e-11,2.8591293841036309e-11,2.7499547961078984e-11,2.269515932277364e-11,3.3564782809525792e-11,2.9235083905196927e-11,3.5452960868773936e-11,2.7126742152184383e-11,2.974513543686409e-11,4.3483286761385786e-11,6.2585951609438857e-11,1.0300547248421981e-10,1.2840251576930713e-10,1.303767379231761e-10,2.9481905080722729e-10,3.2640325413015414e-10,1.2661816150613157e-09,1.020537980190724e-09,5.9827413675670803e-10,3.0909356147311623e-09,3.2346325129602865e-09,3.2682455084210034e-09,2.0341317530161867e-09,1.2549995056171991e-08,1.9952174285660798e-08,1.1195877496723899e-08,6.4847744258823439e-09,5.5677252330624558e-08,2.5436445665539465e-08,7.5690175558875248e-08,9.0102676520715012e-09,1.2254822976800793e-08,5.2029437139801914e-08,2.3767767601935997e-08,1.2291748181334141e-08,1.5305592280178078e-08,1.5918376577127456e-09,2.790140166675809e-12,,,,,,,,,
1264,,2009,0710,1817,IS_MMB1__BHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,288.509897,,,,,,,,33.01513,35.41081,,,,,,,,,,,,0.095224968314714581,17.699990091094229,,,0.0040621351339599366,1.0999303926481547e-05,4.2562447168362059e-07,2.4228094901368482e-09,2.4228680989717538e-09,2.4229267078066591e-09,2.4230190780737555e-09,2.4232131319398387e-09,2.4234071858059218e-09,2.4237453512172341e-09,2.424179799856694e-09,2.4250074058914451e-09,2.4266732034680966e-09,2.4258948016881421e-09,2.4244346796463805e-09,2.4711024052661484e-09,2.27198631225397e-09,2.8023678183906977e-09,3.2177881217824206e-09,2.5942933787132158e-09,2.7651808899795705e-09,2.4779861122094208e-09,5.9587074222940792e-09,2.1802330347010818e-08,2.8564995575711595e-08,6.1086780861418193e-08,1.2281187216524905e-07,1.4338123802245688e-07,4.6020389731246178e-07,8.0561612891177646e-07,1.2046954790065064e-06,4.4550739174890413e-06,2.9358554310623805e-06,6.3531676028471723e-06,2.6556387147679265e-06,6.7081541016979982e-06,1.4078967577943958e-05,1.3633950803351053e-05,2.5997061555071663e-05,7.8947328296348719e-06,7.4114698450954181e-06,2.1182146559031228e-06,1.962068548277519e-06,1.4615149701060729e-06,1.1257543289122346e-09,,,,,,,,,
1265,,2009,0710,1817,IS_MMC2__BHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,287.84091,,,,,,,,33.02681,35.41164,,,,,,,,,,,,0.066990732743808762,16.83269208676716,,,0.0050342299737882431,1.435411956435108e-05,4.3552873950484314e-07,2.5142236064603557e-10,2.5143665247436608e-10,2.5145094430269658e-10,2.5148346043928672e-10,2.5153550839614208e-10,2.5160699374519144e-10,2.5171371423955012e-10,2.5180982315224925e-10,2.5197189927053283e-10,2.5427726145626152e-10,2.5747403409686547e-10,2.2981037415002808e-10,3.0999331443477902e-10,2.9905986937255754e-10,5.8359418299057809e-10,9.7789062479832056e-10,2.5673751929180473e-09,2.4918421772408565e-09,1.0030239490240821e-09,3.8034419460876297e-09,3.0392669884038682e-08,2.3521277422033701e-08,6.0854217495849424e-08,1.4918004346853428e-07,2.4438949559485493e-07,4.74459441694282e-07,2.5834590177682931e-07,1.4311262691040098e-06,2.4557849699469395e-06,9.048001564463863e-07,2.3362805242249466e-06,1.5023788254821307e-06,9.2714516360343467e-06,6.240338072322591e-06,2.4813833821127329e-05,2.2934124312539579e-05,8.3675154619317761e-06,1.0564418276971293e-05,7.4676409026563724e-06,8.3319073482221308e-06,4.6130898490080788e-06,2.6638302971564593e-10,,,,,,,,,
1266,,2009,0710,1817,IS_MBRI__SHE,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,554.199236,,,,,,,,29.79329,34.9152,,,,,,,,,,,,0.19730258544942003,13.093518272772499,,,1.3232180913134041e-09,7.3554845104105949e-12,1.0369412477680699e-12,4.5268384329643597e-15,4.5080601438961723e-15,4.4853103403807629e-15,4.4896285159485806e-15,4.6549109078751491e-15,4.6486327698442302e-15,4.6784362830805029e-15,4.4630952648800935e-15,5.3422879603737803e-15,4.9809315371884027e-15,3.8055791734394548e-15,1.1343623430101577e-15,4.7279666353204424e-15,8.0710968901417618e-15,1.4211845188050959e-14,3.7365925961723154e-14,3.170327747782796e-14,8.5727217456728017e-14,1.0589298412097723e-13,2.0175653239253714e-13,5.3783829147943939e-13,1.511477890853523e-12,1.6783479530607163e-12,1.3199666544199226e-12,1.2206252205582504e-12,5.5180320866781901e-13,3.4702326273147774e-12,3.5667332641549157e-12,1.0694954899328612e-12,3.2116079650160224e-12,3.0272926524112162e-12,3.0019095444518684e-12,3.2265074038583123e-12,2.8706714425009009e-12,2.5257287793119553e-12,7.0609676535072858e-13,3.3142940185134648e-12,7.2181506399259564e-13,3.8591131697601866e-13,2.9367617424447969e-13,6.3569575915724817e-14,1.1812302183791914e-15,,,,,,,,,
1267,,2009,0710,1817,IS_MMA0B__BHE,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,287.904288,,,,,,,,33.01527,35.40305,,,,,,,,,,,,0.2181582617087067,17.260894621722816,,,0.0010592812004587143,3.614560449192036e-06,3.4055332063649501e-07,6.273943912165998e-11,6.2808672356654608e-11,6.2898633608183114e-11,6.3076327019576996e-11,6.3341904408368404e-11,6.3669562951070016e-11,6.410558336959239e-11,6.4713694992633177e-11,6.6650610294186656e-11,7.1281590676640551e-11,5.8031524319190968e-11,1.2511388747617215e-10,1.2470552971457522e-10,7.5322246405013354e-10,1.7625097436673446e-09,4.1705681624794037e-09,7.1405938850744453e-09,1.0268355276357518e-08,3.8670928908491166e-09,7.1872726396604605e-08,5.750067657453764e-08,2.0214873055210443e-07,1.8043650068905953e-07,2.8511888839704377e-07,2.0664484594253221e-07,1.2149387949934133e-06,1.2163240192068043e-06,2.8615133947179115e-07,3.258348178352585e-07,2.8129931298169454e-06,1.1847140616074649e-06,2.5477664308524001e-06,6.3502439772463525e-07,3.9843512476311634e-06,1.8592409529419102e-06,1.745142600562515e-06,8.4843500330723656e-07,7.7544867334922308e-07,8.6131315898367916e-07,1.7243413153441516e-07,2.7159172864706998e-08,9.6894935213168654e-12,,,,,,,,,
1268,,2009,0710,1817,IS_KRMI__SHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,514.132223,,,,,,,,30.1178,34.7257,,,,,,,,,,,,0.24735476145225985,9.4456091727744216,,,7.1842658144857983e-05,2.0891445114052428e-07,1.7158821807090266e-08,1.1211668099775524e-10,1.121985320570624e-10,1.1228714210147982e-10,1.1245653862759502e-10,1.12733970759077e-10,1.1308027688554887e-10,1.13605203544328e-10,1.1437987265430386e-10,1.1575198669627801e-10,1.1729618654033323e-10,1.2057050911264277e-10,1.2315948661596963e-10,1.2925375518334024e-10,1.3906196583479018e-10,1.7448514745126167e-10,1.0538560883540917e-10,4.4085384254461315e-10,7.5360281953807413e-10,5.0393736968955714e-10,4.4318813662289716e-09,4.7363361380092442e-09,1.1664905527277732e-08,3.3846596493685446e-08,4.1405661757409961e-08,2.4947392429815835e-08,1.3848397535568598e-08,3.5854366614473231e-08,7.4730940552722909e-08,2.007476214414092e-08,7.2994890233295344e-08,3.0704045594090545e-08,6.7556738728646649e-08,3.0964060730197601e-08,2.8157928127142858e-07,1.8158980807501887e-07,1.5384653633636475e-07,2.0034217615373223e-07,1.5528476191002817e-08,3.0067927315321708e-08,2.3940461704180758e-09,1.2171456049904172e-10,4.1597954076268656e-11,,,,,,,,,
1269,,2009,0710,1817,IS_MMC3__BHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,288.544092,,,,,,,,33.01826,35.41381,,,,,,,,,,,,0.092862658960707237,18.15025559744506,,,0.0041276486480438098,1.4017539454144344e-05,4.5346855692918159e-07,5.5299300781525257e-10,5.5303390269257247e-10,5.5307479756989247e-10,5.5316860193166601e-10,5.5331064759426485e-10,5.5349730245910174e-10,5.5376228234713748e-10,5.5418547373276016e-10,5.549667474146686e-10,5.5517936569243982e-10,5.580992832559607e-10,5.7106354527763621e-10,5.2504192558285087e-10,6.952557106423787e-10,4.5344962335199432e-10,1.4373794518873531e-09,2.3912912095592849e-09,2.4058391554728513e-09,6.5469657918122932e-10,4.3100344755524301e-09,2.5656330689667243e-08,9.3377079206527314e-09,8.0862913067655317e-08,6.650073045252057e-08,1.4145314050151071e-07,6.6781065226335914e-07,5.5684832848391488e-07,1.2580683901068005e-06,1.7682261420202958e-06,2.282095699965725e-06,3.555520206788613e-06,2.7749203558601896e-06,4.305557846951022e-06,1.310032760569615e-05,1.3249077002134271e-05,5.9192771540055084e-06,5.5612951820825511e-06,1.201027325758627e-05,7.49930924025309e-06,4.7880169648154613e-06,1.5092152227351126e-06,1.5177576177557904e-09,,,,,,,,,
1270,,2009,0710,1817,IS_PRNI__SHE,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,499.962376,,,,,,,,30.3522,35.0052,,,,,,,,,,,,0.28045867955622106,16.007891610655562,,,8.8297865337087588e-05,7.6659011814676512e-07,1.444892694818571e-07,1.008078969168495e-10,1.0064821057279671e-10,1.0084493335189776e-10,1.022995578061696e-10,1.0062261535219111e-10,1.0270718490591547e-10,1.1316359206150402e-10,1.0444861965822879e-10,1.1800041542564969e-10,1.0304793037389442e-10,1.3501510253296042e-10,1.1238287931471833e-10,3.8437705421664671e-10,6.6461225704636249e-10,7.738143089528639e-10,5.276233805205362e-09,2.1998990214290008e-09,1.130169428618674e-08,4.6369819954334025e-08,2.1885591985118515e-08,1.346566667252566e-07,1.2149833235940794e-07,2.9889376395778234e-07,3.4563786581951041e-07,4.9033849676960734e-07,1.2224395651801138e-07,2.1980948574493826e-07,1.4854236614305879e-07,3.8421825018353096e-07,1.3634384531637381e-07,2.8966714147562015e-07,3.3421348551843029e-07,2.8977971041708082e-07,3.1483665785777447e-07,6.0942630259726017e-08,8.9962785564911853e-08,7.9509248214774177e-08,1.0731209395848122e-07,5.8639791151777416e-08,3.4360683862652513e-08,1.0271923924456121e-08,7.5384161425677942e-11,,,,,,,,,
1271,,2009,0710,1817,IS_MMA0B__BHN,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,287.904288,,,,,,,,33.01527,35.40305,,,,,,,,,,,,0.053435174216590095,16.415112257931984,,,0.00068146131358595274,2.3933151094418658e-06,3.103894819476227e-07,9.482734537971167e-10,9.4866466747308237e-10,9.4905588114904804e-10,9.5141679238093453e-10,9.5864021864532161e-10,9.6113328041874375e-10,9.4964256831945552e-10,8.1960663849174343e-10,8.1751214368201254e-10,1.4774177890880097e-09,3.0113275644641586e-09,4.0111866949265128e-09,8.0150919991848951e-09,1.3208219652467625e-08,2.0402665897303654e-08,3.5444564849851063e-08,5.0427814826703674e-08,4.1889285823469212e-08,1.6819537528061405e-08,8.9115682867334276e-08,1.8811967426432719e-07,1.361966957578914e-07,3.009355599252957e-07,4.6218631998582419e-07,1.4644966612754077e-07,9.1004418205526979e-07,6.8098612203639867e-07,2.7097917250792402e-06,1.7038098939358144e-06,4.4218666807283774e-07,8.0635177083688865e-07,3.2322695790058797e-07,2.0374273901382961e-06,6.6435432594484911e-07,1.7387281602823195e-06,1.7790114440879458e-06,2.7339120567220984e-06,2.0849814303418258e-06,1.1777011984971665e-06,3.695595591285036e-07,1.1520798049023971e-07,1.1457347557124245e-10,,,,,,,,,
1272,,2009,0710,1817,IS_MBRI__SHN,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,554.199236,,,,,,,,29.79329,34.9152,,,,,,,,,,,,0.18763477559595848,13.093518272772499,,,1.3163500658907107e-09,9.296821337026643e-12,1.3457847234753204e-12,3.8870321327127798e-15,3.8687848194927716e-15,3.8630213993556962e-15,3.9195059749464265e-15,3.9853822568757137e-15,3.6533411168892668e-15,4.8456175508669839e-15,4.2690889315737352e-15,5.2474762232686149e-15,4.0818698418089316e-15,5.2549258406995574e-15,4.4674112430380417e-15,1.4661352836136939e-14,1.6174183461152652e-14,4.8793260501636965e-14,7.7197581431700371e-14,1.2824319543607196e-13,3.5457864003828157e-13,2.8955659310475281e-13,7.0226014572869273e-13,1.7894448533685586e-12,1.0334208633841108e-12,2.590080859973638e-12,1.027510926500522e-12,3.1674733727227992e-12,1.4821291397146135e-12,5.728957438009458e-12,2.4125321926914587e-12,3.3357695411491014e-12,4.247872578082636e-12,5.8786200682070626e-12,7.1943180523166894e-12,2.6263307869682693e-12,8.0692245956116655e-12,6.6130588995411541e-12,3.9538530858818876e-12,2.0949377561422024e-12,2.6675178336003074e-12,6.256464032707398e-13,3.1996583231944155e-13,4.0867536160832926e-14,1.0812341215257526e-16,,,,,,,,,
1273,,2009,0710,1817,IS_MMC7__BHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,286.670499,,,,,,,,33.02205,35.39256,,,,,,,,,,,,0.13535894024649903,16.415112257931984,,,0.0034625354622447413,8.5265761121856023e-06,2.714501108921809e-07,2.8492522164234159e-10,2.8494181878749321e-10,2.8495841593264484e-10,2.8499414810387823e-10,2.8504949432950522e-10,2.8511781391252279e-10,2.8521363465386281e-10,2.8539169065146741e-10,2.855913024660977e-10,2.8618141025698662e-10,2.8622921205396479e-10,2.8592120367757066e-10,3.008527101315949e-10,2.3040446494007959e-10,5.2497637713938619e-10,9.4599418913697063e-10,1.5983865753101924e-09,1.9432240504569452e-09,1.0425071900377437e-09,5.2965143893244882e-09,2.2546268863244875e-08,8.2549758743666516e-08,6.8021543114762927e-08,7.5447959976887252e-08,2.5143098111459893e-07,3.766712452687902e-07,6.9275660485238321e-07,9.0184231241062278e-07,3.583864717085748e-06,3.9524094733114917e-06,3.4311988906099995e-06,1.4320437627470737e-06,3.6017207100188695e-06,2.0351350928010882e-05,1.180841507414172e-05,1.9853626202485496e-05,3.6452672719061953e-06,1.0375805130110178e-05,4.3302290058633556e-07,7.3434907308380717e-07,4.3325440792870677e-07,7.887147223103809e-10,,,,,,,,,
1274,,2009,0710,1817,IS_MMLI__BHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,329.83044,,,,,,,,32.438,35.422,,,,,,,,,,,,0.11071568952409186,16.83269208676716,,,0.0014891583778104183,4.7630562047794814e-06,4.2720721058900508e-07,2.4804094006048286e-09,2.4804887009638536e-09,2.4806052862244698e-09,2.480780164115394e-09,2.481092764460557e-09,2.4811217591274876e-09,2.4806261801514405e-09,2.4810177786074371e-09,2.4853337475609617e-09,2.4141405727300074e-09,2.4165379927865597e-09,1.4402135466287297e-09,3.0117426291312835e-09,4.2686195948543058e-09,1.0306662454300087e-08,1.1805740619421016e-08,2.2185762443193533e-08,5.6319272524603414e-08,4.7862284119607954e-08,4.4532071069509725e-08,1.0430195602560265e-07,6.6138893594599119e-08,4.4596711946245568e-07,3.6801212013141514e-07,4.3924326663076277e-07,7.5582466087796078e-07,3.8915248759406818e-07,1.5455640266919855e-06,2.3344673306257457e-06,4.5335682877193147e-06,8.8430988440827804e-07,2.1983975811089776e-06,2.6074862048850202e-06,1.5615968028939656e-06,4.8405288898708495e-06,5.9634948287820325e-06,3.6154427896750355e-06,2.8535687753061503e-06,5.3189003120218461e-06,1.7593851489495692e-06,5.5504676802091283e-07,8.0865297849714542e-10,,,,,,,,,
1275,,2009,0710,1817,IS_OFRI__SHZ,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,286.434154,,,,,,,,32.6217,34.9862,,,,,,,,,,,,0.16548731966907376,17.260894621722816,,,0.0008026649411858888,2.9663512950790139e-06,2.6944287171274513e-07,1.5139415265661899e-09,1.5140116929442604e-09,1.5141041062127749e-09,1.5142457006086082e-09,1.5144848235078173e-09,1.5148074834516107e-09,1.5152463269759316e-09,1.5159247726026688e-09,1.517027673598634e-09,1.5182593630913244e-09,1.5215003945095855e-09,1.5221875522284706e-09,1.5332753261543804e-09,1.551552625866952e-09,1.5640617050212731e-09,1.6295462643163328e-09,2.1859645946572057e-09,3.2992727756008073e-09,1.0914523419334855e-08,2.083604253887337e-08,3.4355412134264176e-08,1.3259362975160577e-07,3.136475301412315e-08,2.3788641613309634e-07,3.2391891111395306e-07,6.7558189801158849e-07,4.3669653211131866e-07,1.3007690079080361e-06,5.6690646512389453e-07,7.9609293616343129e-07,2.6915412182828135e-06,4.9552659000868956e-07,3.4752276903834252e-06,1.6226581616524463e-06,3.780113335960522e-06,2.4083563900357178e-06,8.8306826523365196e-07,4.9254751715114588e-07,3.0217940532905899e-07,3.0849158136779107e-07,3.685245510584183e-08,2.1901127895811987e-10,,,,,,,,,
1276,,2009,0710,1817,IS_MMLI__BHE,,,,IS,3.1,,,,,,,34.4643,32.8251,,,,,,,,329.83044,,,,,,,,32.438,35.422,,,,,,,,,,,,0.068694892805168412,18.15025559744506,,,0.0031269415274058922,1.5273210608955583e-05,8.7846479073267133e-07,1.1672734336795756e-10,1.3291485542595291e-10,1.5057060613221441e-10,1.7779467437523674e-10,2.2081702431000414e-10,2.6571792659961386e-10,3.0017995983776524e-10,3.6087235060901197e-10,1.1759450537643943e-09,1.7046690373115955e-09,5.097165320504803e-09,1.1423133096308955e-08,2.3200225456939466e-08,4.7152115301224548e-08,6.8527966013123782e-08,6.4876604232725398e-08,7.9852753114514961e-08,4.0003431979504889e-08,1.6084439992252809e-07,3.1000050933422183e-07,4.5414691965865655e-07,6.4163133156055451e-07,5.6372811582549875e-07,3.3788516859656945e-07,8.2299066732276235e-07,9.0067994719825612e-07,1.0944314633472151e-06,2.9797109186948521e-06,2.149481902116792e-06,3.3687386977487514e-06,7.8249266150319525e-06,6.4887552875754476e-06,3.6848640149149334e-06,6.6875259367932828e-06,5.1974885809477158e-06,1.0740042605122328e-05,4.8450041348365223e-06,2.8062272854276831e-06,2.2200064795938889e-06,1.5026792713784462e-06,1.8510892940761485e-06,1.4925964748754987e-09,,,,,,,,,
